name, #cases, avgTAT, avgWT, avgRT, nCS
SJF,10,1096.199951,844.799988,844.799988,9
RR,10,1915.900024,1664.500000,45.000000,253
DRRHA,10,1295.300049,1043.900024,592.400024,20
MDRRHA,10,1261.599976,1010.200012,678.900024,19
NDRRHA,10,1187.000000,935.599976,766.299988,11
HRRNHA,10,1237.300049,985.900024,874.599976,12
SJF,50,5258.259766,5005.200195,5005.200195,49
RR,50,10237.900391,9984.839844,245.000000,1283
DRRHA,50,6245.220215,5992.160156,3893.800049,104
MDRRHA,50,6200.140137,5947.080078,3999.820068,101
NDRRHA,50,5480.740234,5227.680176,4847.939941,54
HRRNHA,50,6495.660156,6242.600098,5714.000000,55
SJF,100,10204.190430,9953.190430,9953.190430,99
RR,100,20102.669922,19851.669922,495.000000,2551
DRRHA,100,12158.620117,11907.620117,7659.450195,198
MDRRHA,100,12114.299805,11863.299805,7826.479980,196
NDRRHA,100,10396.290039,10145.290039,9709.990234,108
HRRNHA,100,12948.690430,12697.690430,11740.910156,107
SJF,150,14817.006836,14569.693359,14569.693359,149
RR,150,29310.660156,29063.345703,745.000000,3774
DRRHA,150,17706.773438,17459.460938,11237.113281,302
MDRRHA,150,17661.607422,17414.292969,11318.879883,296
NDRRHA,150,15256.653320,15009.339844,13982.540039,163
HRRNHA,150,19158.132812,18910.820312,16989.859375,169
SJF,200,19752.339844,19505.330078,19505.330078,199
RR,200,39193.019531,38946.011719,995.000000,5029
DRRHA,200,23513.279297,23266.269531,15143.309570,398
MDRRHA,200,23554.455078,23307.445312,15167.565430,396
NDRRHA,200,20823.964844,20576.955078,18199.689453,220
HRRNHA,200,25749.005859,25501.994141,22493.460938,227
SJF,250,24971.503906,24722.851562,24722.851562,249
RR,250,49654.609375,49405.957031,1245.000000,6328
DRRHA,250,29759.871094,29511.220703,19209.351562,500
MDRRHA,250,29568.539062,29319.888672,19394.851562,493
NDRRHA,250,25890.011719,25641.359375,23567.976562,275
HRRNHA,250,31776.576172,31527.923828,28703.039062,275
SJF,300,30147.095703,29897.466797,29897.466797,299
RR,300,59997.972656,59748.347656,1495.000000,7624
DRRHA,300,35886.644531,35637.011719,23356.189453,606
MDRRHA,300,35862.695312,35613.066406,23356.189453,592
NDRRHA,300,31064.119141,30814.490234,28725.505859,332
HRRNHA,300,38355.804688,38106.171875,33958.031250,338
SJF,350,35329.496094,35078.976562,35078.976562,349
RR,350,70332.671875,70082.156250,1745.000000,8924
DRRHA,350,42071.070312,41820.550781,27420.005859,702
MDRRHA,350,42058.921875,41808.406250,27420.005859,698
NDRRHA,350,37049.976562,36799.460938,33421.527344,387
HRRNHA,350,44811.082031,44560.566406,39447.632812,390
SJF,400,40265.343750,40015.562500,40015.562500,399
RR,400,80184.703125,79934.921875,1995.000000,10167
DRRHA,400,48115.484375,47865.703125,31256.107422,802
MDRRHA,400,47810.328125,47560.550781,31443.662109,797
NDRRHA,400,42591.921875,42342.140625,37497.574219,451
HRRNHA,400,50629.863281,50380.085938,45640.601562,438
SJF,450,45665.574219,45413.644531,45413.644531,449
RR,450,90968.281250,90716.359375,2245.000000,11535
DRRHA,450,54746.328125,54494.398438,35241.671875,922
MDRRHA,450,54316.664062,54064.730469,35619.085938,890
NDRRHA,450,46469.664062,46217.730469,44310.550781,477
HRRNHA,450,57591.035156,57339.101562,50418.058594,506
SJF,500,50578.816406,50327.863281,50327.863281,499
RR,500,100766.632812,100515.679688,2495.000000,12770
DRRHA,500,60776.785156,60525.832031,39056.718750,1035
MDRRHA,500,60355.929688,60104.980469,39498.726562,1004
NDRRHA,500,52333.527344,52082.578125,48251.953125,548
HRRNHA,500,64161.289062,63910.335938,57777.753906,556
